seine_id,site_name,year,seagrass/unvegetated,lat,long,date,time,distance_m,common_name,genus,species,length_mm,weight_g,trophic_level
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,100,12.649,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,82,7.702,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,85,8.426,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,69,5.002,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,85,8.426,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,65,4.309,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,114,17.552,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,32,0.733,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,21,0.256,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Topsmelt,Atherinops,affinis,22,0.287,2.76
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Arrow Goby,Clevelandia,ios,46,0.929,3.12
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Shiner Perch,Cymatogaster,aggregata,101,21.042,2.99
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Shiner Perch,Cymatogaster,aggregata,58,3.941,2.99
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Shiner Perch,Cymatogaster,aggregata,96,18.051,2.99
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Shiner Perch,Cymatogaster,aggregata,69,6.658,2.99
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Shiner Perch,Cymatogaster,aggregata,44,1.711,2.99
1,Windy Cove,2016,seagrass,35.35009,-120.844383,7/12/2016,9:30 AM,23.5,Shiner Perch,Cymatogaster,aggregata,62,4.82,2.99
