Year,Season,Date,TrawlType,Site,Replicate,Genus,Species,Count
2006,Fall,11/11/2006,Beam,Beam 1,1,Apodichthys,flavidus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Apodichthys,fucorum,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Artedius,notospilotus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Atherinops,affinis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Atherinopsis,californiensis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Aulorhynchus,flavidus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Caulolatilus,princeps,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Citharichthys,stigmaeus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Clevelandia,ios,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Cosmocampus,arctus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Cymatogaster,aggregata,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Embiotoca,jacksoni,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Embiotoca,lateralis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Fundulus,parvipinnis,1
2006,Fall,11/11/2006,Beam,Beam 1,1,Gasterosteus,aculeatus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Gibbonsia,montereyensis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Gibbonsia,elegans,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Gibbonsia,metzi,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Gillichthys,mirabilis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Heterostichus,rostratus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Hypsoblennius,gentilis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Hypsopsetta,guttulata,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Hypsurus,caryi,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Lepidogobius,lepidus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Leptocottus,armatus,1
2006,Fall,11/11/2006,Beam,Beam 1,1,Micrometrus,minimus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Myliobatis,californica,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Oligocottus,snyderi,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Ophiodon,elongatus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Paraclinus,integripinnis,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Paralabrax,clathratus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Paralichthys,californicus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Parophrys,vetulus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Phanerodon,furcatus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Platichthys,stellatus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Platyrhinoidis,triseriata,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Pleuronichthys,ritteri,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Porichthys,notatus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Quietula,y-cauda,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Rhacochilus,vacca,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Scorpaenichthys,marmoratus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Sebastes,dallii,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Sebastes,rastrelliger,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Sebastes,serranoides,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Symphurus,atricaudus,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Syngnathus,leptorhynchus,2
2006,Fall,11/11/2006,Beam,Beam 1,1,Synodus,lucioceps,0
2006,Fall,11/11/2006,Beam,Beam 1,1,Urobatis,halleri,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Apodichthys,flavidus,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Apodichthys,fucorum,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Artedius,notospilotus,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Atherinops,affinis,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Atherinopsis,californiensis,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Aulorhynchus,flavidus,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Caulolatilus,princeps,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Citharichthys,stigmaeus,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Clevelandia,ios,7
2006,Fall,11/11/2006,Beam,Beam 1,2,Cosmocampus,arctus,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Cymatogaster,aggregata,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Embiotoca,jacksoni,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Embiotoca,lateralis,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Fundulus,parvipinnis,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Gasterosteus,aculeatus,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Gibbonsia,montereyensis,0
2006,Fall,11/11/2006,Beam,Beam 1,2,Gibbonsia,elegans,0
